"date","time","slot","pillar","angle","title","audience","risk","timing","reserve","evidenceTerms","searchTerms","authority","occurrence","curationStatus"
"2026-08-23","14:30","3","education_children","edge_case","Portuguese-language support for students: mistakes, exceptions and edge cases","families and students","medium","evergreen","none","language support students","matrícula escolar | educação | equivalência | reconhecimento | MEGA","Direção-Geral da Educação, DGES, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-23","18:00","4","daily_life_consumer","audience","NEWS RESERVE — fallback: Changing telecom provider for everyone living in Portugal","everyone living in Portugal","low","news_flex","breaking_news","changing telecom provider","ePortugal | Livro de Reclamações | ANACOM | energia | telecomunicações","Official-source verification required; otherwise use fallback","1","curated_90_day"
"2026-08-23","21:00","5","banking_money","golden_tip","Changing banks: one golden tip and what to verify","people managing money in Portugal","medium","evergreen","none","Banco de Portugal | IBAN | SEPA","Banco de Portugal | SEPA | conta bancária | IBAN | crédito","Banco de Portugal, European Central Bank, or gov.pt","1","curated_90_day"
"2026-08-24","08:30","1","irs","action","Validating e-Fatura expenses: a practical step-by-step checklist","people filing personal income tax","high","evergreen","none","e-Fatura | faturas","IRS | Modelo 3 | e-Fatura | Anexo J | IRS Automático","Autoridade Tributária or Diário da República","1","curated_90_day"
"2026-08-24","11:30","2","health_family","edge_case","Parental-leave administration: mistakes, exceptions and edge cases","individuals and families","medium","evergreen","none","arrendamento | contrato de arrendamento","SNS | centro de saúde | médico de família | nascimento | família","SNS, SNS 24, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-24","14:30","3","immigration_residency","audience","Residence title versus EU registration certificate for international residents","international residents","high","evergreen","none","AIMA | autorização de residência","AIMA | autorização de residência | visto | reagrupamento familiar | CPLP","AIMA, gov.pt, Diário da República, or IRN as applicable","1","curated_90_day"
"2026-08-24","18:00","4","identity_access","golden_tip","NEWS RESERVE — fallback: What Chave Móvel Digital does: one golden tip and what to verify","new residents","medium","news_flex","breaking_news","Chave Móvel Digital | autenticação.gov","NIF | NISS | Chave Móvel Digital | Portal das Finanças | Segurança Social Direta","Official-source verification required; otherwise use fallback","1","curated_90_day"
"2026-08-24","21:00","5","driving_transport","foundation","Car-insurance documents: a plain-English explanation","drivers and commuters","medium","evergreen","none","insurance documents","IMT | carta de condução | IUC | veículo | Via Verde","IMT, Autoridade Tributária, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-25","08:30","1","banking_money","edge_case","Multibanco payments: mistakes, exceptions and edge cases","people managing money in Portugal","medium","evergreen","none","Banco de Portugal | IBAN | SEPA","Banco de Portugal | SEPA | conta bancária | IBAN | crédito","Banco de Portugal, European Central Bank, or gov.pt","1","curated_90_day"
"2026-08-25","11:30","2","daily_life_consumer","audience","Preventing identity-document scams for everyone living in Portugal","everyone living in Portugal","low","evergreen","none","preventing identity document","ePortugal | Livro de Reclamações | ANACOM | energia | telecomunicações","gov.pt, Direção-Geral do Consumidor, ANACOM, ERSE, or the responsible municipality","1","curated_90_day"
"2026-08-25","14:30","3","iva","golden_tip","Monitoring the IVA exemption threshold: one golden tip and what to verify","freelancers and small businesses","high","evergreen","none","IVA | Imposto sobre o Valor Acrescentado","IVA | CIVA | artigo 53 | declaração periódica | VIES","Autoridade Tributária or Diário da República","1","curated_90_day"
"2026-08-25","18:00","4","employment","foundation","NEWS RESERVE — fallback: Annual leave basics: a plain-English explanation","employees and job seekers","medium","news_flex","breaking_news","annual leave basics","contrato de trabalho | emprego | salário | férias | desemprego","Official-source verification required; otherwise use fallback","1","curated_90_day"
"2026-08-25","21:00","5","identity_access","action","Changing the address linked to your NIF: a practical step-by-step checklist","new residents","medium","evergreen","none","NIF | número de identificação fiscal","NIF | NISS | Chave Móvel Digital | Portal das Finanças | Segurança Social Direta","gov.pt, Autoridade Tributária, Segurança Social, or Autenticação.gov as applicable","1","curated_90_day"
"2026-08-26","08:30","1","driving_transport","audience","Checking vehicle documents for drivers and commuters","drivers and commuters","medium","evergreen","none","checking vehicle documents","IMT | carta de condução | IUC | veículo | Via Verde","IMT, Autoridade Tributária, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-26","11:30","2","citizenship_civil","golden_tip","Portuguese citizenship document checklist: one golden tip and what to verify","residents building a long-term life","high","evergreen","none","citizenship document","IRN | cidadania | nacionalidade | registo civil | Nascer Cidadão","IRN, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-26","14:30","3","housing_property","foundation","Energy certificates: a plain-English explanation","renters and property owners","high","evergreen","none","energy certificates","arrendamento | IMI | AIMI | IMT | imóvel | habitação","Autoridade Tributária, gov.pt, Diário da República, or the responsible municipality","1","curated_90_day"
"2026-08-26","18:00","4","education_children","action","NEWS RESERVE — fallback: Automatic versus specific degree recognition: a practical step-by-step checklist","families and students","medium","news_flex","breaking_news","automatic versus specific","matrícula escolar | educação | equivalência | reconhecimento | MEGA","Official-source verification required; otherwise use fallback","1","curated_90_day"
"2026-08-26","21:00","5","health_family","edge_case","Registering with the SNS: mistakes, exceptions and edge cases","individuals and families","medium","evergreen","none","registering | SNS","SNS | centro de saúde | médico de família | nascimento | família","SNS, SNS 24, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-27","08:30","1","identity_access","golden_tip","Requesting a NISS: one golden tip and what to verify","new residents","medium","evergreen","none","NISS | número de identificação da segurança social","NIF | NISS | Chave Móvel Digital | Portal das Finanças | Segurança Social Direta","gov.pt, Autoridade Tributária, Segurança Social, or Autenticação.gov as applicable","1","curated_90_day"
"2026-08-27","11:30","2","irs","foundation","Capital gains basics: a plain-English explanation","people filing personal income tax","high","evergreen","none","capital gains basics","IRS | Modelo 3 | e-Fatura | Anexo J | IRS Automático","Autoridade Tributária or Diário da República","1","curated_90_day"
"2026-08-27","14:30","3","health_family","action","Using SNS 24: a practical step-by-step checklist","individuals and families","medium","evergreen","none","using | SNS","SNS | centro de saúde | médico de família | nascimento | família","SNS, SNS 24, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-27","18:00","4","immigration_residency","edge_case","NEWS RESERVE — fallback: CPLP residence documentation: mistakes, exceptions and edge cases","international residents","high","news_flex","breaking_news","AIMA | autorização de residência | CPLP","AIMA | autorização de residência | visto | reagrupamento familiar | CPLP","Official-source verification required; otherwise use fallback","1","curated_90_day"
"2026-08-27","21:00","5","driving_transport","audience","Selling a vehicle safely for drivers and commuters","drivers and commuters","medium","evergreen","none","selling vehicle safely","IMT | carta de condução | IUC | veículo | Via Verde","IMT, Autoridade Tributária, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-28","08:30","1","banking_money","foundation","Paying the state through Multibanco: a plain-English explanation","people managing money in Portugal","medium","evergreen","none","Banco de Portugal | IBAN | SEPA","Banco de Portugal | SEPA | conta bancária | IBAN | crédito","Banco de Portugal, European Central Bank, or gov.pt","1","curated_90_day"
"2026-08-28","11:30","2","banking_money","action","Avoiding payment-reference scams: a practical step-by-step checklist","people managing money in Portugal","medium","evergreen","none","avoiding payment reference","Banco de Portugal | SEPA | conta bancária | IBAN | crédito","Banco de Portugal, European Central Bank, or gov.pt","1","curated_90_day"
"2026-08-28","14:30","3","housing_property","edge_case","IMI August reminder: confirm your instalment and payment reference","renters and property owners","high","official_locked","date_locked","IMI | Imposto Municipal sobre Imóveis","arrendamento | IMI | AIMI | IMT | imóvel | habitação","https://info.portaldasfinancas.gov.pt/pt/apoio_ao_contribuinte/Cidadaos/Casa_e_propriedades/Imposto_anual/Paginas/default.aspx","1","curated_90_day"
"2026-08-28","18:00","4","irs","audience","IRS 31 August checkpoint: review your assessment or payment notice","people filing personal income tax","high","official_locked","date_locked","IRS | Imposto sobre o Rendimento das Pessoas Singulares","IRS | Modelo 3 | e-Fatura | Anexo J | IRS Automático","https://info.portaldasfinancas.gov.pt/pt/apoio_contribuinte/calendario_fiscal/Pages/Quadro_res_Pag_2026.aspx","1","curated_90_day"
"2026-08-28","21:00","5","employment","golden_tip","Working for a foreign employer: one golden tip and what to verify","employees and job seekers","medium","evergreen","none","working foreign employer","contrato de trabalho | emprego | salário | férias | desemprego","ACT, Segurança Social, IEFP, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-29","08:30","1","social_security","action","Monthly contribution payments: a practical step-by-step checklist","workers and freelancers","high","evergreen","none","monthly contribution payments","Segurança Social | declaração trimestral | contribuições | NISS | desemprego","Segurança Social, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-29","11:30","2","driving_transport","edge_case","Vehicle inspection timing: mistakes, exceptions and edge cases","drivers and commuters","medium","evergreen","none","vehicle inspection timing","IMT | carta de condução | IUC | veículo | Via Verde","IMT, Autoridade Tributária, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-29","14:30","3","citizenship_civil","audience","Tracking an IRN application for residents building a long-term life","residents building a long-term life","high","evergreen","none","tracking application | IRN","IRN | cidadania | nacionalidade | registo civil | Nascer Cidadão","IRN, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-29","18:00","4","education_children","golden_tip","NEWS RESERVE — fallback: Moving schools during the year: one golden tip and what to verify","families and students","medium","news_flex","breaking_news","matrículas | Portal das Matrículas | educação","matrícula escolar | educação | equivalência | reconhecimento | MEGA","Official-source verification required; otherwise use fallback","1","curated_90_day"
"2026-08-29","21:00","5","education_children","foundation","School-meal and support applications: a plain-English explanation","families and students","medium","evergreen","none","matrículas | Portal das Matrículas | educação","matrícula escolar | educação | equivalência | reconhecimento | MEGA","Direção-Geral da Educação, DGES, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-30","08:30","1","employment","edge_case","Annual leave basics: mistakes, exceptions and edge cases","employees and job seekers","medium","evergreen","none","annual leave basics","contrato de trabalho | emprego | salário | férias | desemprego","ACT, Segurança Social, IEFP, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-30","11:30","2","identity_access","audience","What a Portuguese NIF is for new residents","new residents","medium","evergreen","none","NIF | número de identificação fiscal","NIF | NISS | Chave Móvel Digital | Portal das Finanças | Segurança Social Direta","gov.pt, Autoridade Tributária, Segurança Social, or Autenticação.gov as applicable","1","curated_90_day"
"2026-08-30","14:30","3","irs","golden_tip","What Portuguese IRS is: one golden tip and what to verify","people filing personal income tax","high","evergreen","none","IRS | Imposto sobre o Rendimento das Pessoas Singulares","IRS | Modelo 3 | e-Fatura | Anexo J | IRS Automático","Autoridade Tributária or Diário da República","1","curated_90_day"
"2026-08-30","18:00","4","health_family","foundation","NEWS RESERVE — fallback: Parental-leave administration: a plain-English explanation","individuals and families","medium","news_flex","breaking_news","arrendamento | contrato de arrendamento","SNS | centro de saúde | médico de família | nascimento | família","Official-source verification required; otherwise use fallback","1","curated_90_day"
"2026-08-30","21:00","5","immigration_residency","action","Visa versus residence permit: a practical step-by-step checklist","international residents","high","evergreen","none","AIMA | autorização de residência","AIMA | autorização de residência | visto | reagrupamento familiar | CPLP","AIMA, gov.pt, Diário da República, or IRN as applicable","1","curated_90_day"
"2026-08-31","08:30","1","education_children","audience","National-exam administration for families and students","families and students","medium","evergreen","none","national administration","matrícula escolar | educação | equivalência | reconhecimento | MEGA","Direção-Geral da Educação, DGES, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-31","11:30","2","education_children","golden_tip","School-enrolment documents: one golden tip and what to verify","families and students","medium","evergreen","none","matrículas | Portal das Matrículas | educação","matrícula escolar | educação | equivalência | reconhecimento | MEGA","Direção-Geral da Educação, DGES, gov.pt, or Diário da República","1","curated_90_day"
"2026-08-31","14:30","3","housing_property","foundation","IMI today: pay only if your notice includes an August instalment","renters and property owners","high","official_locked","date_locked","IMI | Imposto Municipal sobre Imóveis","arrendamento | IMI | AIMI | IMT | imóvel | habitação","https://info.portaldasfinancas.gov.pt/pt/apoio_ao_contribuinte/Cidadaos/Casa_e_propriedades/Imposto_anual/Paginas/default.aspx","1","curated_90_day"
"2026-08-31","18:00","4","irs","action","IRS today: act only if your assessment or payment notice requires it","people filing personal income tax","high","official_locked","date_locked","IRS | Imposto sobre o Rendimento das Pessoas Singulares","IRS | Modelo 3 | e-Fatura | Anexo J | IRS Automático","https://info.portaldasfinancas.gov.pt/pt/apoio_contribuinte/calendario_fiscal/Pages/Quadro_res_Pag_2026.aspx","1","curated_90_day"
"2026-08-31","21:00","5","banking_money","edge_case","Foreign bank accounts and Portuguese tax: mistakes, exceptions and edge cases","people managing money in Portugal","medium","evergreen","none","Banco de Portugal | IBAN | SEPA","Banco de Portugal | SEPA | conta bancária | IBAN | crédito","Banco de Portugal, European Central Bank, or gov.pt","1","curated_90_day"
"2026-09-01","08:30","1","immigration_residency","golden_tip","D3 highly qualified route: one golden tip and what to verify","international residents","high","evergreen","none","highly qualified route","AIMA | autorização de residência | visto | reagrupamento familiar | CPLP","AIMA, gov.pt, Diário da República, or IRN as applicable","1","curated_90_day"
